Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION,3370-01-G-MODE,3370-01-P-MODE
2024-08-06 12:53:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:54:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:54:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:54:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:54:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:54:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:54:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:54:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:54:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:54:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:54:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:54:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:54:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:55:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:55:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:55:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:55:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:55:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:55:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:55:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:55:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:55:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:55:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:55:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:55:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:56:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:56:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:56:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:56:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:56:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:56:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:56:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:56:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:56:40,79.4,97.63,0.48,1.0,1.0
