Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION
 2024-08-10 06:01:21,1.38,1.31,0.03
 2024-08-10 06:07:55,1.01,0.93,0.08
 2024-08-10 06:59:37,1.95,1.87,0.04
 2024-08-10 07:00:00,1.43,1.18,0.05
 2024-08-10 07:04:46,1.42,1.32,0.03
 2024-08-10 07:07:12,14.55,2.47,0.08
 2024-08-10 07:59:26,0.89,0.93,0.05
 2024-08-10 08:00:04,1.38,1.27,0.06
 2024-08-10 08:00:58,1.31,1.33,0.03
 2024-08-10 08:34:41,1.86,1.65,0.35
 2024-08-10 08:59:54,0.9,0.96,0.06
 2024-08-10 09:00:02,1.12,1.42,0.08
 2024-08-10 09:05:58,1.33,1.51,0.05
 2024-08-10 09:13:18,0.9,1.76,0.12
 2024-08-10 09:59:58,2.23,0.89,0.07
 2024-08-10 10:00:44,1.57,1.37,0.06
 2024-08-10 10:10:15,1.94,1.3,0.05
 2024-08-10 10:32:47,0.99,1.89,0.12
 2024-08-10 10:59:55,3.07,0.98,0.07
 2024-08-10 11:00:03,1.22,1.25,0.09
 2024-08-10 11:14:44,1.28,1.17,0.11
 2024-08-10 11:49:05,1.04,0.93,0.05
 2024-08-10 12:00:01,364.11,181.31,0.06
 2024-08-10 12:00:09,2.57,3.34,0.07
 2024-08-10 12:00:55,3.1,2.72,0.05
 2024-08-10 12:10:18,3.41,3.5,0.1
 2024-08-10 12:59:59,2.32,1.93,0.08
 2024-08-10 13:00:07,2.87,2.87,0.06
 2024-08-10 13:01:32,2.73,2.49,0.05
 2024-08-10 13:36:01,2.25,2.18,0.14
 2024-08-10 14:00:04,3.72,3.59,0.07
 2024-08-10 14:00:11,2.42,2.63,0.06
 2024-08-10 14:00:27,2.87,3.62,0.05
 2024-08-10 14:56:26,2.14,3.93,0.11
 2024-08-10 15:00:02,3.9,2.31,0.06
 2024-08-10 15:00:09,2.42,2.94,0.07
 2024-08-10 15:11:52,2.62,3.17,0.05
 2024-08-10 15:37:51,2.15,1.81,0.1
 2024-08-10 16:00:06,5.62,3.47,0.06
 2024-08-10 16:00:14,2.65,3.08,0.07
 2024-08-10 16:18:54,2.34,2.89,0.03
 2024-08-10 16:46:03,2.21,3.6,1.05
