Timestamp,3370-02-EBB08,3370-02-AI153,3370-02-AI156,3370-02-AI109,3370-02-AI110
 2024-09-24 04:00:03,8.607,7.666,8.749,53.224,53.262
 2024-09-24 04:09:41,8.639,8.141,8.543,53.247,53.232
 2024-09-24 04:59:50,8.63,7.843,9.623,53.117,53.239
 2024-09-24 05:00:21,8.543,7.807,9.348,53.148,53.247
 2024-09-24 05:00:52,9.692,7.742,9.371,53.163,53.262
 2024-09-24 05:01:31,8.602,8.16,9.005,53.224,53.239
 2024-09-24 05:59:31,8.607,8.03,9.788,53.148,53.255
 2024-09-24 06:00:09,8.621,8.084,9.394,53.209,53.247
 2024-09-24 06:00:40,8.515,7.746,9.532,53.194,53.239
 2024-09-24 06:09:48,8.543,8.368,9.316,53.163,53.255
 2024-09-24 06:59:41,8.557,8.074,9.577,53.209,53.247
 2024-09-24 07:00:20,8.447,7.981,9.408,53.186,53.255
 2024-09-24 07:23:52,10.662,7.773,9.477,53.194,53.239
 2024-09-24 07:59:45,9.774,8.503,9.069,53.201,53.247
 2024-09-24 08:00:54,9.472,8.099,10.571,53.171,53.255
 2024-09-24 08:58:54,8.666,7.788,9.417,53.178,53.018
 2024-09-24 08:59:09,8.726,8.721,9.413,53.171,53.346
 2024-09-24 08:59:48,8.877,6.878,9.417,53.194,53.262
 2024-09-24 08:59:56,8.781,8.231,9.413,53.194,53.278
 2024-09-24 09:00:50,10.218,8.232,9.417,53.186,53.423
 2024-09-24 09:02:15,9.046,8.206,9.413,53.178,50.485
 2024-09-24 09:59:43,9.069,8.353,9.422,53.194,52.019
 2024-09-24 09:59:52,8.927,8.301,9.417,53.186,52.026
 2024-09-24 10:02:03,9.271,8.297,9.413,53.178,51.965
 2024-09-24 10:53:30,9.106,7.924,9.426,53.194,52.248
 2024-09-24 10:59:48,9.115,8.902,9.417,53.186,52.217
 2024-09-24 11:00:03,9.449,8.295,9.413,53.194,52.156
 2024-09-24 11:57:25,8.506,8.294,9.417,52.957,55.765
 2024-09-24 11:58:58,8.927,8.295,9.413,53.278,51.782
 2024-09-24 11:59:44,8.74,8.295,9.417,53.209,53.323
 2024-09-24 11:59:52,8.547,8.294,9.417,53.217,53.369
